Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_total,Apparent_power,Power_factor,month,hour,day_of_week
1.416,5.8,0.0,0.0,18.0,18.0,1.385388,1.0,12,9,3
0.36,1.8,0.0,1.0,1.0,2.0,0.430326,0.8365750616974107,6,11,1
0.168,0.8,0.0,2.0,0.0,2.0,0.191616,0.8767535070140281,8,14,4
0.276,1.2,0.0,1.0,0.0,1.0,0.29568,0.9334415584415584,9,0,5
1.474,6.0,0.0,0.0,18.0,18.0,1.46874,1.0,12,20,5
1.52,6.2,0.0,2.0,18.0,20.0,1.491348,1.0,3,10,0
2.068,8.4,0.0,2.0,19.0,21.0,2.0498520000000005,1.0,10,22,2
3.018,12.8,0.0,0.0,17.0,17.0,3.0094080000000005,1.0,11,17,6
0.25,1.0,0.0,0.0,1.0,1.0,0.2418199999999999,1.0,5,5,1
0.664,2.8,0.0,0.0,1.0,1.0,0.678608,0.9784735812133072,5,22,4
1.93,8.0,0.0,0.0,18.0,18.0,1.93616,0.9968184447566316,4,22,6
1.332,5.4,1.0,0.0,1.0,2.0,1.322892,1.0,10,22,2
1.83,7.6,0.0,0.0,20.0,20.0,1.877504,0.9746983228797385,12,15,4
0.722,3.4,1.0,1.0,0.0,2.0,0.817904,0.882744185136642,5,20,3
1.392,5.8,0.0,0.0,19.0,19.0,1.383184,1.0,5,8,0
1.124,4.8,0.0,0.0,0.0,0.0,1.1593919999999998,0.969473655157186,12,18,2
0.274,1.0,0.0,0.0,1.0,1.0,0.2445699999999999,1.0,4,3,1
0.448,1.8,0.0,0.0,1.0,1.0,0.439668,1.0,3,4,1
0.35,1.4,0.0,0.0,1.0,1.0,0.338562,1.0,4,7,0
2.454,10.2,0.0,0.0,18.0,18.0,2.453814,1.0,12,11,5
1.29,5.2,0.0,0.0,18.0,18.0,1.257568,1.0,3,4,4
4.168,17.4,0.0,19.0,19.0,38.0,4.196357999999999,0.9932422352906976,12,17,3
0.336,1.4,0.0,1.0,0.0,1.0,0.335524,1.0,11,6,1
0.354,1.6,0.0,0.0,0.0,0.0,0.387472,0.9136144031052568,2,5,5
2.816,12.0,0.0,0.0,17.0,17.0,2.81436,1.0,10,18,1
1.442,6.2,0.0,0.0,1.0,1.0,1.47653,0.9766140884370788,10,21,3
0.694,2.8,0.0,0.0,1.0,1.0,0.6700959999999999,1.0,2,18,1
0.22,1.0,0.0,0.0,0.0,0.0,0.23682,0.9289755932775948,5,14,1
0.226,1.0,0.0,0.0,0.0,0.0,0.23936,0.9441844919786097,3,12,3
2.826,12.6,36.0,0.0,1.0,37.0,3.0291659999999996,0.9329300540148676,6,19,1
0.224,1.2,0.0,0.0,0.0,0.0,0.289584,0.7735233990828223,6,8,1
0.098,0.4,0.0,0.0,0.0,0.0,0.095444,1.0,6,2,1
0.264,1.4,0.0,0.0,0.0,0.0,0.336168,0.7853216249018348,8,18,1
0.438,2.2,0.0,0.0,0.0,0.0,0.516274,0.848386709383002,8,7,0
0.08,0.2,0.0,0.0,0.0,0.0,0.048164,1.0,8,16,2
0.336,1.4,0.0,0.0,0.0,0.0,0.340228,0.9875730392560282,11,6,1
1.6,6.8,0.0,1.0,0.0,1.0,1.584672,1.0,11,18,5
0.328,1.4,0.0,0.0,0.0,0.0,0.338772,0.9682028030651884,2,1,1
0.386,1.6,2.0,0.0,0.0,2.0,0.390816,0.9876770654220912,6,21,3
0.314,1.4,0.0,0.0,0.0,0.0,0.337778,0.929604651575887,2,4,5
0.342,1.4,0.0,0.0,0.0,0.0,0.3384079999999999,1.0,4,4,4
0.268,1.0,0.0,0.0,1.0,1.0,0.24271,1.0,11,4,0
0.322,1.4,0.0,0.0,0.0,0.0,0.333018,0.966914701307437,4,6,1
0.08,0.2,0.0,0.0,1.0,1.0,0.048328,1.0,8,12,5
0.214,0.8,0.0,0.0,1.0,1.0,0.195152,1.0,6,1,1
0.35,1.8,0.0,0.0,0.0,0.0,0.432486,0.8092747510902086,6,18,0
0.302,1.2,0.0,0.0,1.0,1.0,0.292896,1.0,3,17,1
1.156,4.8,0.0,0.0,17.0,17.0,1.14528,1.0,8,11,4
1.34,5.6,0.0,0.0,17.0,17.0,1.341592,0.9988133501094224,1,9,2
0.294,1.2,0.0,0.0,0.0,0.0,0.291444,1.0,3,7,5
0.288,1.2,0.0,2.0,0.0,2.0,0.287472,1.0,9,6,4
0.336,1.6,0.0,0.0,1.0,1.0,0.38296,0.8773762272822226,7,5,0
1.406,5.8,0.0,0.0,0.0,0.0,1.381908,1.0,12,19,0
0.344,1.4,0.0,0.0,0.0,0.0,0.3409,1.0,5,1,3
0.476,2.6,0.0,2.0,4.0,6.0,0.62985,0.7557354925775978,9,3,2
1.29,5.4,0.0,18.0,0.0,18.0,1.2743460000000002,1.0,5,19,2
0.146,0.6,0.0,0.0,1.0,1.0,0.1454399999999999,1.0,9,1,1
0.408,2.0,0.0,1.0,0.0,1.0,0.46892,0.8700844493730273,6,3,3
0.296,1.2,0.0,1.0,0.0,1.0,0.294852,1.0,3,9,6
0.302,1.2,0.0,0.0,0.0,0.0,0.291504,1.0,11,3,4
1.324,5.4,0.0,0.0,18.0,18.0,1.324944,0.9992875170573248,12,16,0
0.332,1.4,0.0,0.0,0.0,0.0,0.3383239999999999,0.9813078587389604,12,1,0
0.34,1.6,0.0,2.0,0.0,2.0,0.383312,0.8870058855449348,6,0,3
1.092,4.6,0.0,0.0,16.0,16.0,1.066694,1.0,8,13,3
1.768,7.4,0.0,0.0,18.0,18.0,1.7557980000000002,1.0,11,13,5
4.746,20.2,0.0,21.0,17.0,38.0,4.780532,0.9927765361679411,12,20,3
1.632,6.8,1.0,0.0,18.0,19.0,1.645532,0.9917765196908964,4,13,1
0.404,2.2,0.0,1.0,1.0,2.0,0.52822,0.7648328348036803,7,10,2
1.124,4.8,0.0,0.0,0.0,0.0,1.1489280000000002,0.9783032531194296,7,0,6
0.272,1.2,0.0,0.0,0.0,0.0,0.294036,0.9250567957665048,3,0,1
1.024,4.4,0.0,1.0,0.0,1.0,1.064976,0.96152401556467,1,20,0
0.356,1.6,0.0,0.0,1.0,1.0,0.389056,0.9150353676591544,1,4,4
0.336,1.4,0.0,0.0,1.0,1.0,0.3383379999999999,0.9930897504862004,10,4,6
0.082,0.2,0.0,0.0,0.0,0.0,0.048418,1.0,8,12,2
0.364,1.6,0.0,0.0,1.0,1.0,0.384624,0.946378801114855,10,5,2
0.228,1.0,0.0,0.0,0.0,0.0,0.23745,0.960202147820594,3,18,6
1.242,5.2,0.0,0.0,0.0,0.0,1.255228,0.9894616754884372,2,20,1
0.18,0.8,0.0,0.0,1.0,1.0,0.193648,0.9295216062133356,6,0,0
1.786,7.4,0.0,0.0,18.0,18.0,1.767046,1.0,4,7,1
0.208,1.0,0.0,0.0,0.0,0.0,0.2439,0.8528085280852808,6,17,0
0.324,1.4,0.0,0.0,1.0,1.0,0.340452,0.951676007190441,10,14,0
0.136,0.6,0.0,0.0,1.0,1.0,0.14403,0.9442477261681596,6,3,0
0.144,0.6,0.0,0.0,1.0,1.0,0.144018,0.999875015623047,7,10,5
0.632,2.8,0.0,0.0,0.0,0.0,0.678832,0.9310109128620926,10,11,4
0.134,0.6,0.0,0.0,1.0,1.0,0.143208,0.935701916094073,7,5,4
1.436,5.8,0.0,1.0,18.0,19.0,1.408994,1.0,1,8,4
2.344,10.0,0.0,31.0,0.0,31.0,2.4071,0.9737858834281916,2,15,6
0.394,1.8,0.0,1.0,0.0,1.0,0.43299,0.9099517309868588,5,17,4
0.348,1.4,0.0,0.0,1.0,1.0,0.3384079999999999,1.0,10,17,0
0.574,2.6,0.0,1.0,0.0,1.0,0.625274,0.9179975498741352,12,21,6
2.082,8.6,0.0,0.0,18.0,18.0,2.072084,1.0,1,16,6
3.314,14.0,0.0,36.0,18.0,54.0,3.3347999999999995,0.9937627443924676,10,16,1
0.518,2.6,0.0,2.0,1.0,3.0,0.62985,0.822418036040327,10,23,3
2.672,11.2,0.0,2.0,18.0,20.0,2.6652639999999996,1.0,1,18,4
0.504,2.2,0.0,0.0,0.0,0.0,0.540892,0.931794147445331,1,4,3
0.084,0.2,0.0,0.0,0.0,0.0,0.048918,1.0,8,22,6
0.326,1.4,0.0,1.0,0.0,1.0,0.3441619999999999,0.9472283401421424,11,5,1
1.294,5.2,0.0,0.0,18.0,18.0,1.259128,1.0,3,9,4
0.378,1.6,0.0,0.0,0.0,0.0,0.398752,0.947957627798732,1,6,3
0.378,1.6,0.0,0.0,0.0,0.0,0.387744,0.9748700173310224,10,3,4
2.966,12.2,0.0,1.0,18.0,19.0,2.957524,1.0,2,11,6
1.73,7.2,0.0,0.0,18.0,18.0,1.727352,1.0,5,19,6
0.456,2.0,0.0,2.0,0.0,2.0,0.47802,0.9539349817999248,10,11,2
0.328,1.6,0.0,1.0,0.0,1.0,0.385872,0.8500228054899034,6,17,4
0.738,3.0,0.0,0.0,1.0,1.0,0.74901,0.98530059678776,1,15,1
0.358,1.6,0.0,0.0,0.0,0.0,0.377504,0.9483343222853268,6,13,1
0.376,1.6,0.0,0.0,0.0,0.0,0.39864,0.943206903471804,1,3,0
0.222,1.0,0.0,0.0,0.0,0.0,0.2441299999999999,0.9093515749805432,9,23,5
0.15,0.6,0.0,0.0,0.0,0.0,0.144708,1.0,9,6,0
2.258,9.4,0.0,0.0,0.0,0.0,2.243498,1.0,1,7,3
0.432,1.8,0.0,0.0,0.0,0.0,0.4329,0.997920997920998,2,9,6
0.156,0.6,0.0,0.0,1.0,1.0,0.144558,1.0,8,3,1
2.022,9.0,4.0,0.0,19.0,23.0,2.1637799999999996,0.9344757784987384,1,13,6
0.216,0.8,0.0,0.0,0.0,0.0,0.198472,1.0,12,4,0
0.704,2.8,0.0,0.0,1.0,1.0,0.697284,1.0,1,15,4
0.342,1.6,0.0,0.0,0.0,0.0,0.386288,0.88534979082964,11,14,6
2.154,9.0,0.0,0.0,17.0,17.0,2.14614,1.0,12,11,6
0.472,2.2,0.0,0.0,0.0,0.0,0.5139640000000001,0.9183522581348108,7,7,2
0.244,1.0,0.0,0.0,1.0,1.0,0.24425,0.9989764585465712,5,0,5
0.236,1.0,0.0,1.0,0.0,1.0,0.2431299999999999,0.9706741249537284,8,12,2
0.22,1.0,0.0,1.0,0.0,1.0,0.24011,0.9162467202532172,7,15,2
1.46,6.0,0.0,0.0,18.0,18.0,1.46628,0.995717052677524,12,10,1
0.21,1.0,0.0,0.0,0.0,0.0,0.2445399999999999,0.8587552138709414,8,23,2
0.282,1.2,0.0,0.0,0.0,0.0,0.29436,0.9580105992662044,3,6,0
0.314,1.4,0.0,0.0,0.0,0.0,0.341082,0.92059973847931,3,0,1
0.44,1.8,0.0,0.0,1.0,1.0,0.440604,0.998629154524244,3,7,4
3.404,14.2,39.0,0.0,0.0,39.0,3.3957879999999996,1.0,12,12,0
1.408,5.8,0.0,0.0,18.0,18.0,1.393392,1.0,5,10,4
1.518,6.4,0.0,1.0,18.0,19.0,1.5359360000000002,0.988322430101254,3,1,0
1.66,6.6,2.0,2.0,19.0,23.0,1.624656,1.0,1,17,3
0.388,1.8,0.0,0.0,0.0,0.0,0.437202,0.8874616310080924,10,4,0
0.29,1.2,0.0,0.0,0.0,0.0,0.290988,0.9966046709829957,12,1,1
0.234,0.8,0.0,0.0,1.0,1.0,0.19656,1.0,10,2,1
1.348,5.6,0.0,0.0,18.0,18.0,1.3494879999999998,0.9988973595911932,11,10,6
0.426,1.8,0.0,1.0,1.0,2.0,0.434754,0.9798644750824604,10,0,5
1.416,6.0,0.0,1.0,17.0,18.0,1.43478,0.9869108852925188,7,14,5
1.39,5.8,0.0,0.0,18.0,18.0,1.391768,0.9987296733363604,3,9,3
0.318,1.4,0.0,0.0,1.0,1.0,0.341726,0.930570105874297,4,23,2
0.324,1.6,0.0,0.0,1.0,1.0,0.3824,0.8472803347280334,8,22,5
0.254,1.2,0.0,0.0,0.0,0.0,0.290004,0.8758499882760239,7,5,0
0.456,2.0,0.0,1.0,0.0,1.0,0.4866399999999999,0.9370376458984055,10,13,6
1.354,5.6,0.0,0.0,18.0,18.0,1.3401919999999998,1.0,6,20,5
4.622,19.8,0.0,14.0,17.0,31.0,4.6468620000000005,0.9946497227591437,3,20,6
0.254,1.2,0.0,0.0,0.0,0.0,0.2884199999999999,0.8806601483947023,8,20,4
0.224,1.0,0.0,0.0,1.0,1.0,0.23776,0.9421265141318976,6,11,3
1.706,7.2,0.0,0.0,17.0,17.0,1.713816,0.9954394170669428,3,7,4
0.304,1.2,0.0,0.0,0.0,0.0,0.289728,1.0,3,18,0
0.324,1.4,0.0,0.0,0.0,0.0,0.342916,0.9448378028438452,2,16,0
0.548,2.4,0.0,1.0,0.0,1.0,0.588072,0.9318586839706704,1,4,5
4.894,21.8,0.0,53.0,16.0,69.0,5.003972,0.9780230584823416,7,19,3
0.824,3.4,0.0,0.0,0.0,0.0,0.8146059999999999,1.0,8,5,1
0.566,2.4,0.0,2.0,0.0,2.0,0.5704079999999999,0.9922721981458886,11,21,3
1.364,5.6,0.0,0.0,18.0,18.0,1.378776,0.9892832483304032,2,3,6
1.916,8.0,0.0,0.0,18.0,18.0,1.91448,1.0,5,9,4
2.182,9.0,0.0,1.0,19.0,20.0,2.1607200000000004,1.0,11,21,1
1.462,6.0,0.0,0.0,19.0,19.0,1.4466,1.0,9,16,4
1.356,5.4,0.0,0.0,19.0,19.0,1.31868,1.0,4,11,0
0.582,2.6,0.0,0.0,0.0,0.0,0.6152380000000001,0.9459753786339594,10,18,6
2.7,11.6,0.0,0.0,0.0,0.0,2.7393400000000003,0.9856388765177012,1,20,2
0.16,0.6,0.0,0.0,0.0,0.0,0.145692,1.0,6,2,6
1.28,5.2,0.0,0.0,18.0,18.0,1.254032,1.0,10,9,4
1.462,6.4,0.0,0.0,16.0,16.0,1.4933760000000005,0.9789898860032568,8,10,3
0.31,1.6,0.0,0.0,0.0,0.0,0.386976,0.8010832713139832,8,14,2
0.418,1.8,0.0,1.0,0.0,1.0,0.44064,0.9486201888162672,3,3,1
2.408,10.0,0.0,0.0,18.0,18.0,2.3919,1.0,5,21,1
0.772,3.2,0.0,0.0,1.0,1.0,0.788384,0.9792182489751188,4,22,0
1.164,4.8,0.0,0.0,17.0,17.0,1.144128,1.0,6,8,0
2.73,11.4,0.0,1.0,0.0,1.0,2.7271080000000003,1.0,2,5,5
1.064,4.8,0.0,0.0,11.0,11.0,1.172784,0.907242936465709,11,6,3
0.854,3.8,0.0,0.0,0.0,0.0,0.91086,0.9375754781195794,2,18,5
0.358,1.4,0.0,0.0,0.0,0.0,0.3472979999999999,1.0,12,13,6
0.768,3.6,0.0,10.0,1.0,11.0,0.904284,0.8492907095558475,12,15,2
0.406,2.0,0.0,1.0,1.0,2.0,0.47898,0.847634556766462,7,4,5
2.516,10.4,0.0,1.0,19.0,20.0,2.512744,1.0,10,20,5
0.374,1.6,0.0,1.0,0.0,1.0,0.386,0.9689119170984456,10,15,3
2.352,9.6,1.0,0.0,1.0,2.0,2.327616,1.0,9,21,1
0.236,1.0,0.0,0.0,0.0,0.0,0.24256,0.9729551451187336,8,20,2
2.16,9.2,0.0,1.0,0.0,1.0,2.190336,0.9861500701262274,1,19,2
0.738,3.2,0.0,0.0,0.0,0.0,0.7701760000000001,0.9582225361475816,2,9,0
0.27,1.2,0.0,0.0,1.0,1.0,0.290196,0.9304056568663938,8,13,0
1.268,5.2,0.0,0.0,18.0,18.0,1.249248,1.0,1,10,0
1.756,7.2,0.0,1.0,0.0,1.0,1.75752,0.9991351449770132,11,0,5
1.384,6.0,0.0,0.0,1.0,1.0,1.43784,0.9625549435264006,1,19,5
0.232,1.0,0.0,0.0,0.0,0.0,0.24596,0.94324280370792,2,4,2
0.356,1.4,0.0,0.0,0.0,0.0,0.3367699999999999,1.0,5,13,0
0.858,3.6,0.0,0.0,1.0,1.0,0.865404,0.9914444583108004,5,22,6
1.444,6.0,1.0,0.0,1.0,2.0,1.44402,0.9999861497763188,10,19,6
1.538,6.4,0.0,1.0,19.0,20.0,1.532736,1.0,5,10,4
0.286,1.2,0.0,0.0,1.0,1.0,0.2899199999999999,0.986479028697572,9,3,5
0.324,1.6,0.0,0.0,0.0,0.0,0.383504,0.8448412532854938,5,14,1
0.53,2.4,0.0,0.0,0.0,0.0,0.5831040000000001,0.9089287674239928,11,10,6
0.354,1.6,0.0,2.0,1.0,3.0,0.388416,0.9113939693524468,7,22,0
1.294,5.2,0.0,0.0,18.0,18.0,1.256268,1.0,4,14,6
0.084,0.2,0.0,0.0,1.0,1.0,0.048832,1.0,8,22,1
3.518,14.6,0.0,35.0,17.0,52.0,3.505022,1.0,12,14,5
0.278,1.4,0.0,0.0,0.0,0.0,0.3373719999999999,0.8240162194847233,6,15,1
1.718,7.2,0.0,0.0,0.0,0.0,1.7074079999999998,1.0,1,18,2
4.696,20.0,37.0,0.0,18.0,55.0,4.6692,1.0,4,20,6
1.388,5.8,0.0,1.0,0.0,1.0,1.387476,1.0,6,21,2
2.808,11.6,0.0,0.0,19.0,19.0,2.793628,1.0,12,19,6
1.242,5.0,0.0,0.0,19.0,19.0,1.2117,1.0,8,1,1
4.81,20.2,37.0,2.0,18.0,57.0,4.790227999999999,1.0,6,22,0
1.954,8.2,0.0,1.0,18.0,19.0,1.981776,0.9859842888399094,11,20,4
3.068,13.0,0.0,2.0,18.0,20.0,3.09478,0.9913467193144584,1,19,1
0.952,4.0,0.0,2.0,12.0,14.0,0.95944,0.9922454765279746,6,15,2
3.066,13.2,0.0,27.0,18.0,45.0,3.175788,0.9654296823339592,3,15,3
2.404,9.8,0.0,1.0,0.0,1.0,2.3693460000000006,1.0,1,2,6
1.38,5.6,0.0,0.0,19.0,19.0,1.346688,1.0,11,10,0
1.4,5.8,0.0,1.0,0.0,1.0,1.427728,0.980578933802517,11,1,0
1.386,5.6,0.0,0.0,19.0,19.0,1.360072,1.0,4,14,5
0.472,2.2,0.0,1.0,1.0,2.0,0.53317,0.8852711142787477,10,2,2
1.42,6.0,0.0,0.0,0.0,0.0,1.4266800000000002,0.995317800768217,12,7,3
1.386,6.0,0.0,1.0,17.0,18.0,1.39812,0.9913312162046176,5,14,6
1.954,8.2,0.0,1.0,29.0,30.0,1.967918,0.9929275508430738,6,12,2
2.232,9.2,0.0,1.0,17.0,18.0,2.196316,1.0,1,8,2
1.426,6.0,0.0,0.0,18.0,18.0,1.43304,0.9950873667169096,3,11,0
0.28,1.2,0.0,0.0,0.0,0.0,0.298632,0.9376088295962924,12,2,1
0.646,2.8,0.0,0.0,0.0,0.0,0.6765359999999999,0.9548641905234904,5,4,6
0.35,1.4,0.0,0.0,0.0,0.0,0.341712,1.0,11,7,2
0.398,1.8,0.0,0.0,0.0,0.0,0.441072,0.9023470091050896,10,0,3
0.348,1.8,0.0,1.0,1.0,2.0,0.439218,0.7923172547573186,9,23,3
1.752,7.4,0.0,0.0,18.0,18.0,1.747658,1.0,2,19,6
0.228,1.0,0.0,0.0,1.0,1.0,0.24294,0.938503334156582,7,4,0
0.366,1.6,0.0,0.0,1.0,1.0,0.387168,0.945326060004959,10,17,1
1.546,6.4,2.0,1.0,19.0,22.0,1.542272,1.0,12,10,0
4.688,19.6,0.0,36.0,17.0,53.0,4.655588000000001,1.0,12,16,6
0.24,1.0,0.0,0.0,0.0,0.0,0.24864,0.9652509652509652,1,2,2
0.252,1.2,0.0,0.0,0.0,0.0,0.295236,0.8535544445799292,1,5,6
0.382,1.6,0.0,0.0,0.0,0.0,0.384992,0.9922284099409858,10,17,5
0.322,1.6,0.0,0.0,1.0,1.0,0.383792,0.8389961228999041,7,21,4
0.278,1.2,0.0,0.0,0.0,0.0,0.288432,0.963832029733178,11,15,5
1.47,6.0,0.0,1.0,17.0,18.0,1.44972,1.0,2,13,4
1.578,6.6,0.0,1.0,17.0,18.0,1.578522,0.99966931091236,12,10,4
1.646,6.8,0.0,0.0,0.0,0.0,1.671032,0.9850200355229582,12,7,0
0.37,1.6,0.0,0.0,1.0,1.0,0.382208,0.9680592766242464,7,22,6
0.412,1.8,0.0,1.0,0.0,1.0,0.440676,0.9349272481369532,3,17,3
1.5,6.4,0.0,3.0,17.0,20.0,1.480448,1.0,6,8,2
3.18,13.2,0.0,33.0,19.0,52.0,3.234132,0.9832622787196073,11,15,4
2.012,8.4,0.0,0.0,18.0,18.0,2.01432,0.9988482465546684,5,20,5
1.354,5.6,0.0,1.0,18.0,19.0,1.333136,1.0,6,12,0
0.224,1.0,0.0,0.0,1.0,1.0,0.24312,0.9213557091148404,8,18,3
1.412,5.8,0.0,0.0,18.0,18.0,1.395654,1.0,11,13,6
0.332,1.6,0.0,1.0,1.0,2.0,0.382672,0.8675837270560689,7,20,1
0.12,0.6,0.0,0.0,0.0,0.0,0.1438559999999999,0.8341675008341676,6,9,5
1.888,7.8,0.0,0.0,18.0,18.0,1.877694,1.0,12,12,2
2.698,11.4,0.0,0.0,16.0,16.0,2.669196,1.0,3,19,1
0.298,1.4,0.0,0.0,0.0,0.0,0.3417959999999999,0.8718650891174854,3,3,4
0.338,1.4,0.0,0.0,0.0,0.0,0.331926,1.0,5,5,4
0.402,1.8,0.0,0.0,0.0,0.0,0.4383539999999999,0.917067028018451,3,3,3
0.838,3.4,0.0,2.0,0.0,2.0,0.816816,1.0,10,7,3
0.37,1.6,0.0,0.0,1.0,1.0,0.392576,0.9424926638408868,1,4,4
0.256,1.0,0.0,0.0,1.0,1.0,0.2429,1.0,4,12,0
0.512,2.6,0.0,2.0,0.0,2.0,0.614874,0.8326909252952637,11,17,1
