Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
24/3/2009;14:20:00;0.372;0.120;245.450;1.600;0.000;0.000;0.000
16/3/2010;07:25:00;1.602;0.196;242.700;6.600;0.000;1.000;18.000
21/2/2009;19:09:00;0.394;0.060;237.770;1.600;0.000;0.000;0.000
19/2/2010;02:03:00;0.256;0.000;243.750;1.000;0.000;0.000;0.000
11/5/2008;18:30:00;0.940;0.178;241.470;4.000;0.000;0.000;1.000
9/6/2010;12:58:00;0.340;0.204;242.510;1.600;0.000;0.000;1.000
8/11/2009;03:22:00;0.300;0.102;246.500;1.200;0.000;1.000;1.000
15/5/2008;22:03:00;1.396;0.246;239.190;5.800;0.000;2.000;1.000
30/10/2010;12:20:00;0.366;0.000;243.970;1.600;0.000;0.000;0.000
2/6/2009;06:19:00;1.354;0.098;240.730;5.600;0.000;1.000;18.000
14/11/2010;11:40:00;0.550;0.046;236.600;2.400;0.000;0.000;0.000
25/3/2009;19:45:00;2.590;0.082;237.590;10.800;0.000;0.000;18.000
8/10/2007;19:11:00;0.738;0.218;237.080;3.200;0.000;0.000;0.000
15/4/2007;16:55:00;0.460;0.130;240.360;2.000;0.000;0.000;0.000
10/1/2008;11:56:00;1.526;0.000;239.100;6.400;0.000;0.000;18.000
27/9/2009;19:25:00;0.322;0.054;238.330;1.400;0.000;0.000;0.000
3/9/2007;07:17:00;0.692;0.252;241.800;3.000;0.000;2.000;0.000
15/8/2010;07:30:00;0.246;0.086;243.110;1.200;0.000;0.000;1.000
15/7/2010;12:59:00;0.468;0.234;241.630;2.200;0.000;0.000;1.000
30/7/2010;13:28:00;0.308;0.204;240.930;1.400;0.000;2.000;1.000
11/7/2007;20:24:00;0.228;0.120;242.160;1.000;0.000;0.000;0.000
21/3/2009;22:58:00;1.230;0.110;246.130;5.000;0.000;0.000;0.000
16/2/2008;00:20:00;0.682;0.066;243.900;2.800;0.000;0.000;0.000
22/4/2007;14:07:00;3.674;0.000;237.060;15.400;38.000;0.000;17.000
6/12/2009;08:54:00;1.398;0.000;241.150;5.800;0.000;0.000;18.000
5/2/2009;03:08:00;0.228;0.000;249.540;1.000;0.000;0.000;0.000
31/10/2010;20:52:00;0.346;0.126;246.040;1.400;0.000;2.000;1.000
19/8/2009;23:59:00;0.298;0.220;242.340;1.600;0.000;1.000;1.000
28/9/2007;11:58:00;1.414;0.078;239.100;5.800;0.000;0.000;18.000
30/12/2009;04:25:00;0.256;0.000;243.180;1.000;0.000;0.000;1.000
15/6/2007;12:24:00;0.338;0.358;241.210;2.000;0.000;1.000;0.000
24/8/2008;00:54:00;0.082;0.000;241.470;0.200;0.000;0.000;1.000
3/12/2007;08:28:00;1.352;0.000;239.730;5.600;1.000;0.000;18.000
23/1/2009;00:43:00;0.370;0.100;247.790;1.600;0.000;0.000;0.000
13/9/2007;09:35:00;0.126;0.000;237.720;0.800;0.000;0.000;0.000
14/12/2008;18:02:00;1.138;0.212;237.220;4.800;0.000;1.000;0.000
26/2/2009;07:11:00;1.060;0.000;240.230;4.400;0.000;0.000;0.000
2/2/2009;16:22:00;0.688;0.114;248.770;2.800;0.000;0.000;0.000
9/3/2008;16:27:00;0.556;0.048;241.150;2.600;0.000;0.000;0.000
28/8/2009;22:12:00;1.240;0.162;239.550;5.200;0.000;0.000;1.000
18/7/2009;23:22:00;1.220;0.190;241.060;5.000;0.000;0.000;1.000
8/3/2010;05:17:00;0.368;0.068;248.550;1.800;0.000;1.000;0.000
12/12/2009;09:43:00;1.318;0.000;242.590;5.400;0.000;0.000;19.000
26/8/2008;00:32:00;0.248;0.252;240.080;1.400;0.000;0.000;1.000
4/6/2010;05:31:00;0.932;0.280;240.720;4.000;0.000;2.000;11.000
17/4/2008;17:58:00;0.380;0.126;243.980;1.800;0.000;0.000;1.000
23/10/2009;09:47:00;1.290;0.050;239.120;5.400;0.000;0.000;18.000
15/8/2010;20:12:00;1.764;0.322;237.550;7.400;0.000;1.000;11.000
30/3/2009;20:08:00;0.938;0.000;240.170;4.000;1.000;0.000;0.000
15/6/2008;06:24:00;0.234;0.088;240.300;1.000;0.000;0.000;1.000
9/1/2009;09:26:00;1.730;0.060;244.710;7.000;0.000;0.000;18.000
5/2/2007;02:00:00;0.296;0.000;239.110;1.400;0.000;0.000;0.000
15/8/2008;18:30:00;0.080;0.000;240.000;0.200;0.000;0.000;1.000
22/10/2008;11:27:00;0.320;0.000;238.700;1.400;0.000;0.000;1.000
25/7/2010;12:53:00;1.304;0.086;240.150;5.400;0.000;1.000;18.000
26/4/2007;00:18:00;0.278;0.186;237.240;1.400;0.000;1.000;0.000
14/8/2008;23:02:00;0.156;0.126;242.130;0.800;0.000;0.000;0.000
18/6/2007;19:50:00;1.530;0.092;240.890;7.000;0.000;0.000;18.000
8/2/2009;21:44:00;2.940;0.000;241.220;12.200;38.000;0.000;0.000
17/2/2008;21:56:00;1.648;0.140;238.810;7.000;0.000;2.000;0.000
22/8/2009;18:56:00;2.270;0.788;241.020;9.800;2.000;1.000;18.000
22/12/2008;08:23:00;1.414;0.056;242.370;5.800;0.000;0.000;18.000
13/5/2009;04:07:00;0.594;0.334;241.840;2.800;0.000;1.000;1.000
11/3/2007;02:01:00;2.376;0.000;239.250;9.800;0.000;0.000;0.000
9/4/2008;06:06:00;0.256;0.000;240.950;1.000;0.000;0.000;0.000
23/6/2010;16:45:00;0.316;0.222;243.040;1.600;0.000;2.000;1.000
27/5/2007;13:07:00;1.810;0.194;234.330;7.800;0.000;0.000;17.000
16/2/2009;07:39:00;0.302;0.062;238.020;1.200;0.000;0.000;0.000
24/12/2006;10:58:00;2.394;0.068;236.780;10.000;0.000;1.000;18.000
27/6/2010;01:15:00;0.158;0.000;238.970;0.600;0.000;0.000;1.000
3/10/2008;15:33:00;0.282;0.000;243.330;1.200;0.000;0.000;1.000
7/7/2007;08:51:00;1.416;0.318;238.710;6.000;0.000;1.000;18.000
25/5/2007;21:44:00;3.622;0.184;226.890;16.000;41.000;0.000;0.000
24/2/2008;04:01:00;1.388;0.062;242.930;5.600;0.000;0.000;18.000
7/7/2007;06:40:00;0.190;0.080;242.110;0.800;0.000;0.000;0.000
16/2/2008;00:17:00;0.788;0.210;245.540;3.200;0.000;0.000;0.000
8/9/2010;10:00:00;1.218;0.064;236.190;5.200;0.000;0.000;17.000
17/12/2007;02:12:00;0.294;0.068;245.600;1.200;0.000;0.000;0.000
21/5/2009;22:42:00;0.422;0.254;243.520;2.000;0.000;1.000;1.000
7/2/2010;15:08:00;2.836;0.124;246.080;11.400;0.000;41.000;0.000
2/10/2008;12:17:00;1.272;0.000;238.080;5.200;0.000;0.000;18.000
30/7/2009;19:44:00;0.608;0.158;241.880;2.800;0.000;1.000;0.000
19/5/2008;10:20:00;1.344;0.212;238.510;5.600;0.000;1.000;18.000
12/9/2008;19:25:00;2.412;0.350;239.950;10.000;0.000;0.000;19.000
20/2/2009;11:17:00;1.390;0.084;234.680;6.000;0.000;0.000;17.000
10/9/2007;20:03:00;1.170;0.236;239.060;5.000;1.000;0.000;0.000
6/6/2009;21:23:00;2.252;0.252;238.440;9.400;0.000;3.000;29.000
11/4/2010;08:06:00;0.684;0.080;240.670;3.800;0.000;0.000;0.000
27/6/2009;13:34:00;2.206;0.240;241.020;10.400;24.000;0.000;1.000
24/2/2009;06:04:00;0.390;0.192;242.680;1.800;0.000;0.000;0.000
25/8/2009;08:10:00;0.320;0.230;241.310;1.600;0.000;2.000;0.000
19/8/2008;14:59:00;0.174;0.150;240.080;0.800;0.000;0.000;0.000
30/7/2009;08:50:00;0.270;0.148;240.330;1.200;0.000;2.000;1.000
26/6/2008;09:24:00;1.268;0.000;235.830;5.800;0.000;0.000;17.000
22/5/2008;15:11:00;0.342;0.000;239.730;1.600;0.000;0.000;0.000
22/12/2008;03:52:00;0.338;0.074;245.660;1.400;0.000;1.000;0.000
29/12/2006;17:05:00;0.292;0.134;236.590;1.400;0.000;0.000;0.000
26/1/2010;10:31:00;1.798;0.228;243.540;7.400;0.000;2.000;19.000
21/3/2010;19:59:00;3.826;0.104;237.210;16.000;0.000;39.000;1.000
15/4/2008;20:42:00;1.998;0.056;235.360;8.600;0.000;0.000;17.000
6/1/2007;05:48:00;0.342;0.188;243.790;1.600;0.000;0.000;0.000
15/9/2007;15:27:00;1.374;0.074;239.230;5.800;0.000;3.000;18.000
31/7/2007;01:56:00;0.102;0.000;236.200;0.400;0.000;0.000;0.000
8/11/2007;17:37:00;0.630;0.078;238.340;2.600;0.000;1.000;0.000
17/3/2008;07:12:00;2.552;0.074;240.050;10.600;0.000;1.000;17.000
19/5/2009;21:26:00;1.946;0.086;241.190;8.000;1.000;2.000;1.000
13/8/2009;03:51:00;0.326;0.250;242.820;1.600;0.000;1.000;1.000
6/12/2007;11:31:00;1.590;0.092;236.410;6.800;0.000;0.000;18.000
4/9/2009;21:04:00;0.604;0.108;241.530;2.600;0.000;0.000;1.000
1/1/2009;13:21:00;0.222;0.066;243.250;1.000;0.000;0.000;0.000
24/6/2007;12:01:00;0.280;0.208;239.300;1.400;0.000;1.000;0.000
15/5/2008;07:54:00;1.606;0.060;237.450;6.800;1.000;0.000;22.000
7/10/2007;22:06:00;2.122;0.000;237.210;8.800;0.000;0.000;17.000
11/1/2008;04:59:00;0.330;0.102;242.340;1.400;0.000;0.000;0.000
2/1/2010;07:10:00;0.326;0.128;244.630;1.400;0.000;0.000;1.000
19/11/2009;15:31:00;0.388;0.062;245.010;1.600;0.000;0.000;1.000
22/9/2007;00:31:00;0.288;0.194;240.860;1.400;0.000;0.000;0.000
16/10/2007;20:35:00;2.398;0.110;237.920;10.000;0.000;0.000;0.000
25/9/2007;13:42:00;0.728;0.000;238.200;3.000;0.000;0.000;0.000
20/11/2010;08:33:00;1.362;0.056;241.640;5.600;0.000;0.000;18.000
3/10/2009;10:49:00;0.452;0.128;239.500;2.000;0.000;0.000;0.000
26/11/2009;17:11:00;0.602;0.128;239.900;2.600;0.000;0.000;1.000
29/5/2007;15:15:00;0.320;0.092;235.950;1.400;0.000;0.000;0.000
28/4/2007;18:58:00;?;?;?;?;?;?;
10/11/2009;16:13:00;0.964;0.072;245.020;3.800;0.000;1.000;0.000
19/9/2009;01:03:00;0.254;0.080;240.320;1.000;0.000;2.000;0.000
27/8/2007;04:55:00;0.208;0.134;240.040;1.200;0.000;1.000;0.000
16/2/2008;03:03:00;0.268;0.000;246.340;1.200;0.000;0.000;0.000
31/1/2008;17:08:00;0.386;0.046;242.270;1.800;0.000;0.000;0.000
14/1/2010;12:33:00;?;?;?;?;?;?;
1/4/2010;00:04:00;0.344;0.082;243.660;1.400;0.000;1.000;1.000
24/2/2007;14:48:00;0.288;0.086;238.690;1.200;0.000;0.000;0.000
30/6/2007;09:14:00;0.200;0.102;241.280;1.000;0.000;2.000;0.000
17/2/2007;20:10:00;1.770;0.248;237.150;7.400;0.000;1.000;0.000
30/9/2009;07:32:00;2.296;0.112;242.020;9.400;0.000;1.000;19.000
8/4/2010;13:31:00;1.294;0.050;240.390;5.400;0.000;0.000;18.000
24/6/2009;12:39:00;1.490;0.194;242.200;6.200;0.000;1.000;19.000
31/5/2007;02:03:00;0.382;0.162;235.490;1.800;0.000;0.000;0.000
24/3/2007;22:05:00;3.556;0.108;233.720;15.800;14.000;0.000;17.000
9/7/2009;12:01:00;0.298;0.114;242.110;1.400;0.000;0.000;0.000
29/4/2008;09:49:00;0.320;0.080;241.160;1.400;0.000;0.000;1.000
27/3/2010;22:37:00;1.426;0.120;241.700;5.800;0.000;2.000;0.000
27/6/2007;00:50:00;0.300;0.202;243.030;1.400;0.000;0.000;0.000
29/8/2008;18:17:00;0.856;0.260;240.070;3.600;0.000;0.000;12.000
27/11/2009;22:31:00;1.928;0.256;241.740;8.000;0.000;0.000;19.000
19/7/2008;08:23:00;0.308;0.114;238.930;1.400;0.000;0.000;1.000
22/1/2010;12:16:00;1.578;0.348;243.040;6.600;0.000;1.000;18.000
24/6/2007;06:34:00;0.320;0.256;243.170;1.600;0.000;2.000;0.000
15/2/2007;23:05:00;1.800;0.258;245.600;7.400;0.000;2.000;19.000
20/2/2010;18:46:00;3.176;0.330;235.670;14.000;10.000;0.000;18.000
3/2/2008;00:07:00;3.266;0.000;238.940;13.600;0.000;0.000;18.000
15/5/2009;02:28:00;0.256;0.000;241.660;1.000;0.000;0.000;1.000
19/10/2010;15:22:00;0.380;0.054;245.850;1.600;0.000;0.000;1.000
4/8/2010;19:29:00;0.332;0.226;241.330;1.600;0.000;0.000;1.000
6/4/2008;16:27:00;0.420;0.104;243.630;1.800;0.000;0.000;1.000
27/1/2009;13:36:00;0.674;0.000;243.670;2.800;0.000;0.000;0.000
15/12/2007;12:02:00;2.118;0.314;235.830;9.000;0.000;1.000;17.000
10/10/2010;12:31:00;1.912;0.326;242.570;8.000;1.000;0.000;18.000
17/1/2008;18:03:00;0.842;0.178;239.980;3.600;0.000;0.000;0.000
6/11/2009;00:00:00;0.230;0.000;245.840;0.800;0.000;0.000;0.000
22/12/2009;03:14:00;0.214;0.000;246.580;0.800;0.000;0.000;0.000
16/7/2008;20:12:00;2.722;0.622;237.900;12.400;9.000;0.000;0.000
6/8/2010;02:25:00;0.306;0.212;241.620;1.400;0.000;1.000;1.000
16/2/2008;12:36:00;0.670;0.106;244.320;2.800;0.000;0.000;0.000
21/5/2009;13:41:00;1.982;0.092;239.480;8.200;0.000;0.000;29.000
22/6/2009;02:24:00;0.216;0.090;241.030;1.000;0.000;1.000;1.000
2/7/2010;17:39:00;0.296;0.122;241.740;1.400;0.000;0.000;0.000
15/7/2010;01:41:00;1.348;0.000;238.330;5.600;0.000;0.000;0.000
5/3/2009;13:48:00;1.380;0.082;241.200;5.600;0.000;0.000;18.000
26/12/2007;03:28:00;1.318;0.000;246.290;5.200;0.000;0.000;0.000
13/10/2010;10:36:00;1.512;0.000;236.200;6.400;0.000;1.000;18.000
30/8/2010;09:07:00;1.466;0.000;237.280;6.200;0.000;0.000;23.000
2/11/2010;02:40:00;0.346;0.124;250.340;1.400;0.000;1.000;0.000
27/12/2008;15:37:00;1.328;0.050;245.150;5.400;0.000;0.000;0.000
19/11/2010;13:47:00;1.360;0.054;238.520;5.600;0.000;0.000;18.000
12/10/2007;23:48:00;0.306;0.082;241.790;1.200;0.000;1.000;0.000
20/8/2007;14:57:00;1.458;0.128;241.340;6.000;1.000;1.000;18.000
18/5/2009;04:12:00;0.336;0.090;241.490;1.400;0.000;0.000;0.000
25/3/2009;20:40:00;3.884;0.000;238.270;16.200;38.000;0.000;0.000
4/10/2009;21:37:00;3.992;0.154;239.490;16.600;38.000;1.000;18.000
31/12/2006;17:38:00;2.466;0.104;235.950;10.400;0.000;0.000;0.000
16/4/2008;11:23:00;0.524;0.102;240.860;2.400;0.000;0.000;0.000
29/1/2010;00:43:00;1.448;0.106;242.020;6.000;0.000;0.000;19.000
15/3/2008;04:19:00;0.344;0.104;242.330;1.400;0.000;0.000;0.000
21/8/2010;23:29:00;?;?;?;?;?;?;
28/4/2008;05:27:00;0.342;0.106;239.520;1.400;0.000;0.000;1.000
17/7/2010;03:41:00;0.168;0.000;240.580;0.800;0.000;0.000;1.000
14/12/2009;21:42:00;6.236;0.210;240.150;26.200;38.000;20.000;18.000
8/6/2007;01:11:00;0.272;0.068;235.660;1.200;0.000;0.000;0.000
9/7/2007;22:37:00;4.886;0.114;236.330;20.600;37.000;0.000;17.000
23/8/2007;21:57:00;0.630;0.270;240.960;3.000;0.000;1.000;0.000
11/2/2008;03:42:00;0.336;0.108;246.560;1.400;0.000;0.000;0.000
15/9/2010;12:28:00;0.146;0.000;244.280;0.600;0.000;0.000;0.000
29/1/2007;16:28:00;2.392;0.438;244.400;10.000;0.000;0.000;18.000
11/8/2010;11:57:00;0.158;0.000;242.160;0.600;0.000;0.000;1.000
5/3/2009;23:46:00;0.464;0.078;243.760;2.000;0.000;0.000;0.000
22/9/2007;15:40:00;1.278;0.056;241.260;5.200;0.000;1.000;18.000
16/8/2009;15:59:00;0.438;0.314;241.600;2.200;0.000;0.000;1.000
21/4/2008;15:31:00;0.354;0.134;245.120;1.400;0.000;0.000;1.000
14/2/2009;07:51:00;2.298;0.000;241.050;9.400;0.000;0.000;18.000
27/5/2008;02:07:00;0.260;0.054;239.080;1.400;0.000;0.000;1.000
25/12/2006;19:52:00;1.062;0.162;241.800;4.400;0.000;0.000;0.000
30/10/2009;10:11:00;1.508;0.182;241.730;6.200;0.000;0.000;19.000
24/9/2009;00:51:00;0.296;0.248;242.220;1.600;0.000;0.000;1.000
5/5/2010;05:27:00;0.334;0.062;237.290;1.400;0.000;0.000;0.000
4/10/2010;02:41:00;0.888;0.182;241.150;3.600;0.000;1.000;1.000
10/1/2009;04:10:00;0.282;0.082;245.890;1.200;0.000;1.000;0.000
3/10/2010;22:17:00;1.360;0.088;244.580;5.600;0.000;1.000;1.000
22/12/2008;23:38:00;2.374;0.086;243.780;9.800;1.000;2.000;0.000
24/2/2010;13:31:00;1.454;0.106;243.630;6.000;0.000;0.000;19.000
13/4/2010;08:01:00;1.432;0.000;238.240;6.000;0.000;0.000;18.000
15/2/2010;05:41:00;0.258;0.000;249.610;1.000;0.000;0.000;1.000
2/9/2010;08:29:00;1.404;0.082;240.180;5.800;0.000;2.000;18.000
20/3/2007;13:09:00;1.392;0.102;239.870;5.800;0.000;0.000;18.000
29/4/2007;04:06:00;?;?;?;?;?;?;
4/12/2008;03:59:00;0.378;0.076;245.530;1.600;0.000;0.000;0.000
17/5/2008;23:34:00;4.198;0.184;234.840;18.400;18.000;0.000;18.000
21/2/2007;09:30:00;1.374;0.116;239.130;5.600;0.000;0.000;17.000
7/5/2008;15:24:00;0.588;0.370;242.930;2.800;1.000;2.000;1.000
22/10/2008;02:58:00;0.330;0.092;243.600;1.400;0.000;2.000;0.000
15/12/2009;20:03:00;1.150;0.072;246.360;4.600;0.000;0.000;1.000
27/12/2007;22:32:00;2.082;0.420;238.470;8.800;1.000;5.000;18.000
4/9/2008;11:34:00;1.184;0.000;237.090;5.000;0.000;0.000;18.000
3/9/2008;20:48:00;2.918;0.262;236.100;12.400;1.000;0.000;18.000
17/11/2010;03:13:00;0.252;0.000;244.490;1.200;0.000;0.000;0.000
21/8/2009;11:22:00;0.256;0.120;241.840;1.200;0.000;0.000;1.000
13/2/2007;19:38:00;3.392;0.326;235.160;14.400;0.000;39.000;0.000
4/6/2009;03:40:00;0.310;0.222;243.850;1.400;0.000;0.000;1.000
28/11/2007;02:58:00;0.302;0.000;245.510;1.200;0.000;1.000;0.000
13/9/2010;19:36:00;0.896;0.340;237.320;4.000;1.000;1.000;0.000
22/3/2010;10:36:00;1.366;0.080;239.240;5.600;0.000;0.000;18.000
4/5/2010;20:11:00;1.820;0.000;234.780;7.600;0.000;0.000;18.000
2/2/2008;02:07:00;0.234;0.000;246.440;1.000;0.000;0.000;0.000
12/6/2010;02:24:00;1.476;0.310;239.240;6.200;0.000;2.000;18.000
11/7/2007;11:20:00;0.130;0.000;238.470;0.600;0.000;0.000;0.000
24/2/2008;11:32:00;0.384;0.226;239.670;1.800;0.000;2.000;0.000
12/8/2007;05:53:00;0.104;0.000;236.080;0.400;0.000;0.000;0.000
28/4/2007;04:31:00;?;?;?;?;?;?;
7/1/2007;22:00:00;3.024;0.060;238.870;12.600;0.000;0.000;18.000
24/1/2010;17:41:00;1.262;0.152;232.050;5.400;0.000;1.000;1.000
11/6/2007;02:58:00;0.226;0.102;241.040;1.000;0.000;0.000;0.000
21/7/2010;07:50:00;1.398;0.224;238.130;6.000;0.000;1.000;18.000
1/10/2008;02:06:00;0.238;0.000;243.290;1.000;0.000;0.000;1.000
26/12/2006;18:42:00;2.950;0.244;239.220;12.400;0.000;0.000;18.000
18/2/2010;12:20:00;1.530;0.182;246.390;6.200;0.000;0.000;20.000
12/6/2008;00:46:00;0.296;0.128;240.790;1.400;0.000;0.000;0.000
30/9/2009;09:47:00;1.438;0.318;241.490;6.000;0.000;1.000;18.000
20/6/2009;12:30:00;1.432;0.212;242.150;6.000;0.000;0.000;18.000
28/11/2008;17:49:00;1.540;0.000;242.180;6.200;0.000;0.000;0.000
5/3/2010;07:42:00;0.362;0.000;244.340;1.600;0.000;0.000;0.000
1/1/2007;23:06:00;0.478;0.164;243.230;2.000;0.000;0.000;0.000
8/3/2010;15:30:00;6.274;0.380;240.630;26.000;0.000;76.000;19.000
4/9/2010;00:29:00;0.346;0.144;241.740;1.600;0.000;0.000;1.000
13/2/2007;22:35:00;0.698;0.000;243.970;2.800;0.000;0.000;0.000
15/3/2008;21:22:00;1.646;0.568;238.640;8.000;0.000;1.000;0.000
16/1/2009;20:43:00;6.806;0.562;236.960;29.000;38.000;30.000;17.000
27/2/2009;10:50:00;1.892;0.164;238.940;8.000;0.000;1.000;17.000
10/4/2008;04:02:00;0.258;0.000;244.580;1.000;0.000;0.000;1.000
21/12/2008;11:28:00;6.518;0.170;236.440;27.400;0.000;73.000;17.000
3/1/2010;08:06:00;0.376;0.126;243.580;1.600;0.000;0.000;0.000
17/6/2008;09:56:00;1.996;0.352;238.350;8.800;0.000;2.000;25.000
24/10/2010;01:41:00;1.102;0.462;245.450;4.800;0.000;1.000;1.000
1/4/2010;14:04:00;1.322;0.000;243.100;5.400;0.000;0.000;18.000
13/5/2007;18:05:00;2.490;0.332;233.910;11.200;31.000;0.000;0.000
10/4/2009;19:50:00;2.076;0.282;241.520;9.200;0.000;23.000;1.000
7/4/2007;08:43:00;0.676;0.000;241.640;2.800;0.000;0.000;0.000
23/1/2009;05:20:00;0.336;0.062;245.530;1.400;0.000;0.000;0.000
22/4/2008;16:22:00;1.702;0.284;238.700;7.200;0.000;5.000;18.000
14/4/2008;11:54:00;1.568;0.138;245.030;6.400;0.000;0.000;19.000
27/3/2007;09:47:00;0.294;0.086;237.240;1.200;0.000;1.000;0.000
29/10/2007;23:35:00;0.208;0.000;243.990;0.800;0.000;0.000;0.000
9/8/2009;11:59:00;0.262;0.110;243.230;1.200;0.000;0.000;1.000
27/3/2007;16:47:00;0.376;0.212;242.080;1.800;0.000;2.000;0.000
12/6/2007;09:46:00;0.552;0.312;236.280;2.800;0.000;1.000;0.000
15/11/2010;10:47:00;1.266;0.074;236.360;5.200;0.000;0.000;17.000
24/10/2008;06:34:00;0.240;0.000;240.980;1.000;0.000;0.000;1.000
19/1/2007;02:14:00;0.238;0.000;241.730;1.000;0.000;0.000;0.000
13/11/2007;07:39:00;3.020;0.092;239.230;12.600;0.000;0.000;17.000
20/6/2008;07:22:00;1.828;0.064;238.740;7.600;0.000;0.000;18.000
21/4/2010;19:35:00;1.200;0.410;242.640;5.200;0.000;0.000;10.000
2/2/2008;21:00:00;2.844;0.302;233.700;12.200;0.000;3.000;16.000
16/10/2007;01:17:00;1.280;0.056;239.370;5.200;0.000;0.000;18.000
24/8/2007;11:41:00;0.270;0.096;238.030;1.200;0.000;0.000;0.000
30/4/2010;12:23:00;1.376;0.066;239.320;5.600;0.000;0.000;18.000
13/1/2008;20:14:00;3.070;0.062;235.420;13.000;0.000;0.000;17.000
12/6/2008;04:23:00;0.194;0.000;240.560;0.800;0.000;0.000;0.000
6/2/2008;22:53:00;0.220;0.000;241.340;1.000;0.000;0.000;0.000
22/6/2007;01:45:00;0.288;0.250;241.050;1.600;0.000;1.000;0.000
15/6/2010;20:42:00;1.782;0.000;242.690;7.200;0.000;0.000;19.000
24/12/2007;06:23:00;0.334;0.134;245.810;1.400;0.000;0.000;0.000
15/2/2010;04:58:00;0.252;0.000;246.030;1.000;0.000;0.000;1.000
23/10/2009;15:20:00;5.376;0.694;238.310;23.000;39.000;0.000;28.000
8/10/2008;20:17:00;1.724;0.056;241.520;7.000;0.000;0.000;1.000
22/4/2010;16:57:00;1.422;0.060;241.500;5.800;0.000;0.000;19.000
23/1/2008;06:39:00;2.022;0.052;242.080;8.400;0.000;0.000;18.000
22/3/2008;08:45:00;2.210;0.282;242.640;9.000;0.000;1.000;18.000
20/12/2007;15:00:00;1.624;0.086;245.760;6.600;0.000;0.000;18.000
31/8/2010;06:41:00;0.258;0.050;241.050;1.200;0.000;0.000;1.000
28/11/2008;10:12:00;1.296;0.000;239.570;5.400;0.000;0.000;17.000
22/4/2010;02:11:00;0.444;0.220;242.690;2.000;0.000;1.000;1.000
11/10/2008;21:49:00;1.600;0.064;239.720;6.600;0.000;0.000;18.000
7/9/2010;23:10:00;0.704;0.240;244.530;3.200;1.000;1.000;1.000
